word,CH1_frequency,CH1_rank,CH2_frequency,CH2_rank,CH3_frequency,CH3_rank,CH4_frequency,CH4_rank,CH5_frequency,CH5_rank,CH6_frequency,CH6_rank,CH7_frequency,CH7_rank,CH8_frequency,CH8_rank,CH9_frequency,CH9_rank,CH10_frequency,CH10_rank,CH11_frequency,CH11_rank,CH12_frequency,CH12_rank,CH13_frequency,CH13_rank,CH14_frequency,CH14_rank,CH15_frequency,CH15_rank,CH16_frequency,CH16_rank,CH17_frequency,CH17_rank,CH18_frequency,CH18_rank,CH19_frequency,CH19_rank,CH20_frequency,CH20_rank,CH21_frequency,CH21_rank,CH22_frequency,CH22_rank,CH23_frequency,CH23_rank,CH24_frequency,CH24_rank,CH25_frequency,CH25_rank,CH26_frequency,CH26_rank,CH27_frequency,CH27_rank,CH28_frequency,CH28_rank,CH29_frequency,CH29_rank,CH30_frequency,CH30_rank,CH31_frequency,CH31_rank,CH32_frequency,CH32_rank,CH33_frequency,CH33_rank,CH34_frequency,CH34_rank,CH35_frequency,CH35_rank,CH36_frequency,CH36_rank,CH37_frequency,CH37_rank,CH38_frequency,CH38_rank,CH39_frequency,CH39_rank,CH40_frequency,CH40_rank,CH41_frequency,CH41_rank,CH42_frequency,CH42_rank,CH43_frequency,CH43_rank,CH44_frequency,CH44_rank,CH45_frequency,CH45_rank,CH46_frequency,CH46_rank,CH47_frequency,CH47_rank,CH48_frequency,CH48_rank,CH49_frequency,CH49_rank,CH50_frequency,CH50_rank,Total_frequency,Total_rank
details,4.0,21.0,1.0,210.0,1.0,285.0,,,,,1.0,242.0,,,,,,,,,,,,,5.0,41.0,,,,,2.0,193.0,,,,,,,,,2.0,201.0,1.0,512.0,,,,,,,,,,,1.0,390.0,,,,,3.0,130.0,,,1.0,393.0,,,,,,,,,,,,,2.0,98.0,1.0,345.0,,,1.0,761.0,2.0,253.0,1.0,302.0,,,,,1.0,170.0,1.0,377.0,,,35.0,331.0
date,4.0,22.0,5.0,27.0,,,1.0,558.0,3.0,58.0,6.0,21.0,3.0,54.0,1.0,553.0,8.0,10.0,,,1.0,382.0,8.0,21.0,4.0,69.0,,,9.0,4.0,,,5.0,32.0,3.0,49.0,1.0,401.0,,,7.0,20.0,3.0,98.0,1.0,374.0,5.0,30.0,,,,,,,,,1.0,612.0,2.0,150.0,7.0,18.0,,,2.0,69.0,,,9.0,5.0,1.0,146.0,,,,,2.0,175.0,4.0,16.0,7.0,33.0,3.0,61.0,2.0,250.0,3.0,142.0,1.0,569.0,1.0,561.0,,,1.0,297.0,11.0,19.0,1.0,224.0,158.0,29.0
company,4.0,23.0,,,14.0,4.0,,,2.0,107.0,7.0,13.0,2.0,138.0,13.0,4.0,3.0,44.0,4.0,27.0,1.0,364.0,3.0,81.0,11.0,10.0,3.0,75.0,,,9.0,11.0,3.0,90.0,1.0,354.0,1.0,702.0,5.0,18.0,23.0,1.0,,,1.0,197.0,,,,,3.0,94.0,5.0,16.0,2.0,122.0,1.0,220.0,,,6.0,28.0,,,6.0,4.0,,,2.0,84.0,,,2.0,163.0,4.0,36.0,5.0,50.0,,,5.0,51.0,3.0,67.0,12.0,10.0,2.0,188.0,2.0,232.0,4.0,90.0,2.0,196.0,2.0,63.0,3.0,146.0,2.0,76.0,196.0,21.0
name,4.0,24.0,1.0,228.0,,,,,1.0,277.0,13.0,5.0,3.0,55.0,1.0,266.0,,,,,,,2.0,161.0,8.0,20.0,,,1.0,196.0,2.0,143.0,7.0,12.0,1.0,486.0,4.0,37.0,7.0,10.0,9.0,14.0,5.0,43.0,4.0,35.0,,,,,1.0,590.0,,,7.0,28.0,1.0,491.0,2.0,127.0,16.0,5.0,3.0,56.0,6.0,6.0,1.0,437.0,4.0,37.0,4.0,19.0,4.0,30.0,7.0,13.0,4.0,75.0,1.0,201.0,10.0,16.0,5.0,20.0,5.0,40.0,2.0,262.0,1.0,651.0,4.0,71.0,2.0,181.0,1.0,330.0,17.0,6.0,1.0,255.0,256.0,14.0
questions,4.0,25.0,2.0,156.0,,,,,,,2.0,126.0,,,1.0,341.0,2.0,120.0,,,,,,,2.0,278.0,1.0,253.0,,,3.0,115.0,1.0,237.0,2.0,67.0,,,2.0,49.0,4.0,63.0,5.0,39.0,1.0,403.0,,,3.0,87.0,1.0,439.0,1.0,291.0,,,3.0,69.0,1.0,476.0,1.0,734.0,,,,,,,1.0,410.0,1.0,325.0,,,,,,,2.0,75.0,4.0,71.0,2.0,113.0,2.0,207.0,4.0,103.0,1.0,531.0,2.0,230.0,1.0,319.0,,,,,4.0,33.0,67.0,154.0
able,4.0,26.0,4.0,43.0,,,1.0,538.0,,,1.0,583.0,1.0,649.0,,,2.0,114.0,2.0,64.0,,,2.0,152.0,3.0,160.0,,,,,,,2.0,155.0,,,,,1.0,303.0,2.0,248.0,1.0,434.0,1.0,358.0,,,,,,,1.0,260.0,,,1.0,424.0,3.0,79.0,1.0,554.0,3.0,71.0,,,,,,,,,1.0,567.0,1.0,290.0,6.0,33.0,,,4.0,86.0,3.0,47.0,3.0,161.0,1.0,934.0,3.0,92.0,,,,,,,2.0,281.0,2.0,134.0,63.0,164.0
look,4.0,27.0,2.0,139.0,2.0,125.0,1.0,622.0,2.0,94.0,,,3.0,68.0,3.0,65.0,2.0,91.0,,,1.0,370.0,1.0,535.0,2.0,218.0,,,1.0,130.0,5.0,43.0,2.0,167.0,,,4.0,47.0,1.0,300.0,1.0,274.0,2.0,166.0,5.0,27.0,2.0,151.0,,,2.0,220.0,1.0,377.0,3.0,60.0,,,1.0,481.0,1.0,635.0,4.0,47.0,,,1.0,320.0,2.0,134.0,1.0,440.0,1.0,398.0,,,,,1.0,355.0,1.0,453.0,5.0,25.0,3.0,153.0,6.0,51.0,1.0,703.0,,,3.0,124.0,1.0,328.0,1.0,663.0,5.0,20.0,104.0,75.0
delighted,4.0,28.0,1.0,502.0,,,,,,,,,,,,,,,,,,,,,,,2.0,151.0,,,,,,,,,,,,,1.0,636.0,1.0,515.0,,,1.0,500.0,1.0,758.0,1.0,596.0,1.0,357.0,,,,,,,,,,,,,1.0,327.0,,,,,,,,,1.0,600.0,,,,,1.0,609.0,,,1.0,1092.0,,,,,2.0,230.0,,,2.0,282.0,,,21.0,583.0
thanks,4.0,29.0,5.0,32.0,,,3.0,79.0,,,2.0,197.0,1.0,684.0,,,3.0,53.0,4.0,23.0,3.0,36.0,,,,,,,,,,,,,,,1.0,537.0,5.0,22.0,2.0,232.0,1.0,575.0,3.0,67.0,1.0,333.0,2.0,133.0,,,3.0,46.0,,,1.0,450.0,3.0,76.0,,,,,2.0,112.0,2.0,67.0,1.0,327.0,3.0,53.0,1.0,537.0,,,4.0,77.0,1.0,489.0,3.0,108.0,3.0,77.0,,,,,,,,,22.0,4.0,,,3.0,157.0,,,93.0,94.0
enclosed,4.0,30.0,,,3.0,78.0,1.0,556.0,1.0,144.0,4.0,49.0,1.0,579.0,1.0,206.0,2.0,127.0,2.0,126.0,1.0,378.0,3.0,105.0,5.0,60.0,1.0,549.0,3.0,36.0,20.0,3.0,3.0,95.0,1.0,406.0,1.0,708.0,,,,,,,,,3.0,86.0,5.0,42.0,,,2.0,87.0,,,6.0,13.0,1.0,593.0,5.0,53.0,,,,,,,4.0,45.0,1.0,340.0,4.0,43.0,1.0,537.0,,,1.0,208.0,5.0,60.0,4.0,43.0,,,5.0,77.0,1.0,641.0,,,,,3.0,34.0,1.0,751.0,4.0,44.0,118.0,63.0
grant,3.0,31.0,,,2.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,557.0,1.0,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,581.0,,,2.0,250.0,2.0,83.0,1.0,796.0,,,,,,,,,,,,,,,,,,,13.0,926.0
want,3.0,32.0,3.0,67.0,3.0,64.0,10.0,7.0,7.0,15.0,,,4.0,37.0,2.0,123.0,3.0,43.0,6.0,15.0,3.0,30.0,7.0,27.0,8.0,24.0,1.0,316.0,,,5.0,37.0,4.0,47.0,7.0,5.0,7.0,14.0,4.0,26.0,4.0,52.0,1.0,528.0,1.0,225.0,3.0,78.0,4.0,55.0,3.0,83.0,2.0,51.0,6.0,35.0,2.0,156.0,5.0,32.0,4.0,81.0,5.0,21.0,4.0,14.0,1.0,345.0,2.0,75.0,3.0,26.0,1.0,436.0,3.0,59.0,6.0,29.0,1.0,148.0,10.0,12.0,5.0,21.0,5.0,52.0,8.0,30.0,14.0,6.0,,,6.0,37.0,1.0,203.0,4.0,77.0,,,212.0,18.0
meeting,3.0,33.0,1.0,355.0,,,,,,,7.0,14.0,2.0,180.0,2.0,148.0,21.0,1.0,1.0,219.0,,,,,2.0,281.0,,,,,1.0,383.0,,,1.0,181.0,,,1.0,198.0,6.0,28.0,,,2.0,124.0,12.0,3.0,,,1.0,275.0,1.0,202.0,,,1.0,601.0,6.0,26.0,3.0,132.0,,,2.0,93.0,,,,,12.0,1.0,,,,,2.0,167.0,,,8.0,29.0,3.0,92.0,,,3.0,125.0,1.0,534.0,,,,,1.0,305.0,,,8.0,6.0,119.0,61.0
job,3.0,34.0,1.0,313.0,,,1.0,606.0,,,,,1.0,456.0,9.0,14.0,2.0,74.0,,,1.0,277.0,1.0,365.0,,,2.0,88.0,,,1.0,341.0,1.0,319.0,3.0,51.0,1.0,370.0,,,5.0,35.0,2.0,184.0,,,5.0,34.0,3.0,110.0,,,,,1.0,299.0,1.0,624.0,2.0,111.0,,,1.0,425.0,,,,,,,1.0,396.0,,,4.0,30.0,4.0,64.0,1.0,157.0,2.0,176.0,2.0,123.0,20.0,3.0,1.0,670.0,1.0,285.0,3.0,107.0,7.0,24.0,,,1.0,747.0,,,97.0,83.0
accepting,3.0,35.0,,,,,,,,,,,1.0,299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,110.0,,,,,,,,,,,,,,,,,,,1.0,460.0,,,9.0,1245.0
do,3.0,36.0,2.0,97.0,1.0,668.0,3.0,57.0,2.0,99.0,1.0,671.0,2.0,122.0,4.0,44.0,1.0,258.0,5.0,19.0,2.0,87.0,2.0,147.0,5.0,55.0,3.0,61.0,1.0,285.0,2.0,203.0,,,3.0,33.0,1.0,635.0,,,1.0,730.0,6.0,34.0,1.0,269.0,4.0,45.0,7.0,19.0,9.0,14.0,,,,,3.0,52.0,6.0,28.0,1.0,496.0,14.0,4.0,,,3.0,32.0,,,4.0,20.0,3.0,51.0,2.0,105.0,5.0,41.0,2.0,104.0,2.0,234.0,1.0,430.0,5.0,51.0,3.0,140.0,9.0,13.0,4.0,81.0,6.0,33.0,,,1.0,516.0,,,156.0,30.0
time,3.0,37.0,5.0,20.0,5.0,24.0,5.0,23.0,5.0,27.0,5.0,31.0,9.0,5.0,8.0,15.0,14.0,3.0,6.0,17.0,5.0,18.0,8.0,22.0,8.0,21.0,2.0,109.0,2.0,50.0,1.0,525.0,6.0,22.0,3.0,50.0,1.0,750.0,4.0,23.0,9.0,13.0,11.0,10.0,8.0,6.0,8.0,15.0,4.0,57.0,13.0,4.0,4.0,26.0,5.0,40.0,2.0,155.0,11.0,11.0,16.0,4.0,4.0,50.0,2.0,111.0,2.0,88.0,2.0,89.0,3.0,37.0,8.0,7.0,3.0,40.0,20.0,3.0,3.0,28.0,19.0,3.0,5.0,22.0,9.0,15.0,13.0,11.0,7.0,20.0,12.0,11.0,13.0,8.0,3.0,36.0,7.0,45.0,4.0,37.0,343.0,7.0
working,3.0,38.0,,,,,1.0,534.0,,,,,1.0,549.0,2.0,194.0,,,,,,,,,,,,,,,,,1.0,498.0,1.0,455.0,1.0,569.0,1.0,161.0,,,1.0,771.0,2.0,134.0,1.0,391.0,1.0,574.0,,,,,1.0,529.0,2.0,93.0,4.0,52.0,,,,,1.0,422.0,,,,,,,2.0,133.0,1.0,500.0,1.0,737.0,,,,,,,5.0,58.0,2.0,344.0,2.0,223.0,,,2.0,264.0,,,,,1.0,411.0,40.0,289.0
