word,CH1_frequency,CH1_rank,CH2_frequency,CH2_rank,CH3_frequency,CH3_rank,CH4_frequency,CH4_rank,CH5_frequency,CH5_rank,CH6_frequency,CH6_rank,CH7_frequency,CH7_rank,CH8_frequency,CH8_rank,CH9_frequency,CH9_rank,CH10_frequency,CH10_rank,CH11_frequency,CH11_rank,CH12_frequency,CH12_rank,CH13_frequency,CH13_rank,CH14_frequency,CH14_rank,CH15_frequency,CH15_rank,CH16_frequency,CH16_rank,CH17_frequency,CH17_rank,CH18_frequency,CH18_rank,CH19_frequency,CH19_rank,CH20_frequency,CH20_rank,CH21_frequency,CH21_rank,CH22_frequency,CH22_rank,CH23_frequency,CH23_rank,CH24_frequency,CH24_rank,CH25_frequency,CH25_rank,CH26_frequency,CH26_rank,CH27_frequency,CH27_rank,CH28_frequency,CH28_rank,CH29_frequency,CH29_rank,CH30_frequency,CH30_rank,CH31_frequency,CH31_rank,CH32_frequency,CH32_rank,CH33_frequency,CH33_rank,CH34_frequency,CH34_rank,CH35_frequency,CH35_rank,CH36_frequency,CH36_rank,CH37_frequency,CH37_rank,CH38_frequency,CH38_rank,CH39_frequency,CH39_rank,CH40_frequency,CH40_rank,CH41_frequency,CH41_rank,CH42_frequency,CH42_rank,CH43_frequency,CH43_rank,CH44_frequency,CH44_rank,CH45_frequency,CH45_rank,CH46_frequency,CH46_rank,CH47_frequency,CH47_rank,CH48_frequency,CH48_rank,CH49_frequency,CH49_rank,CH50_frequency,CH50_rank,Total_frequency,Total_rank
watching,,,,,,,,,,,,,,,,,,,,,,,,,1.0,804.0,,,,,,,,,,,,,,,1.0,677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,792.0,,,,,,,3.0,2883.0
entertainment,,,,,,,,,,,,,,,,,,,,,,,,,1.0,808.0,,,1.0,385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,135.0,,,,,5.0,2083.0
pair,,,,,,,,,,,,,,,,,,,,,,,,,1.0,809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,385.0,4.0,2427.0
broken,,,,,,,,,,,,,,,,,,,,,,,,,1.0,810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,342.0,1.0,398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,190.0,,,5.0,2084.0
clasp,,,,,,,,,,,,,,,,,,,,,,,,,1.0,811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5443.0
gold,,,,,,,,,,,,,,,,,,,,,,,,,1.0,812.0,,,,,,,,,,,,,,,,,1.0,388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,472.0,,,,,,,,,,,,,1.0,1021.0,,,,,,,,,,,,,4.0,2428.0
silver,,,,,,,,,,,,,,,,,,,,,,,,,1.0,814.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,430.0,1.0,846.0,,,,,,,4.0,2429.0
overlaying,,,,,,,,,,,,,,,,,,,,,,,,,1.0,816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5444.0
gemstone,,,,,,,,,,,,,,,,,,,,,,,,,1.0,817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5445.0
initial,,,,,,,,,,,,,,,,,,,,,,,,,1.0,822.0,,,2.0,63.0,,,,,,,,,,,,,,,1.0,389.0,,,1.0,266.0,,,,,,,1.0,443.0,,,,,,,2.0,67.0,,,,,,,,,,,,,,,,,,,1.0,1001.0,,,,,,,,,,,2.0,252.0,,,13.0,978.0
earlier,,,,,,,,,,,,,,,,,,,,,,,,,1.0,825.0,,,,,,,,,,,,,,,,,,,,,5.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1826.0
verify,,,,,,,,,,,,,,,,,,,,,,,,,1.0,826.0,,,1.0,184.0,,,2.0,168.0,,,,,,,,,,,,,2.0,128.0,,,,,,,,,,,,,,,,,1.0,369.0,,,,,,,1.0,217.0,,,,,1.0,264.0,,,,,,,,,1.0,570.0,,,,,,,,,,,11.0,1129.0
correspondent,,,,,,,,,,,,,,,,,,,,,,,,,1.0,827.0,,,,,,,,,,,,,,,,,1.0,514.0,1.0,340.0,,,,,,,,,,,,,1.0,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1052.0
removed,,,,,,,,,,,,,,,,,,,,,,,,,1.0,829.0,,,,,,,,,,,,,1.0,359.0,,,,,,,,,,,,,,,,,,,,,,,1.0,521.0,,,,,,,,,,,,,,,,,,,,,,,1.0,490.0,,,,,,,,,,,,,4.0,2430.0
wave,,,,,,,,,,,,,,,,,,,,,,,,,1.0,834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5446.0
radios,,,,,,,,,,,,,,,,,,,,,,,,,1.0,835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5447.0
caller,,,,,,,,,,,,,,,,,,,,,,,,,1.0,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5448.0
stayed,,,,,,,,,,,,,,,,,,,,,,,,,1.0,843.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5449.0
buy,,,,,,,,,,,,,,,,,,,,,,,,,1.0,848.0,,,1.0,255.0,,,,,,,,,,,,,,,,,,,,,,,1.0,372.0,1.0,511.0,,,1.0,474.0,,,1.0,289.0,,,2.0,96.0,,,,,,,,,,,1.0,446.0,,,,,,,3.0,156.0,,,,,2.0,245.0,,,1.0,677.0,,,17.0,752.0
deceitful,,,,,,,,,,,,,,,,,,,,,,,,,1.0,850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5450.0
graphics,,,,,,,,,,,,,,,,,,,,,,,,,1.0,853.0,,,,,,,,,,,,,,,,,,,2.0,73.0,,,,,,,,,1.0,416.0,,,,,,,,,1.0,150.0,,,,,,,,,,,,,,,,,,,1.0,777.0,1.0,700.0,,,,,,,,,,,,,8.0,1443.0
text,,,,,,,,,,,,,,,,,,,,,,,,,1.0,857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2085.0
unanswered,,,,,,,,,,,,,,,,,,,,,,,,,1.0,858.0,,,,,,,,,,,,,,,,,1.0,373.0,,,2.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2431.0
unaddressed,,,,,,,,,,,,,,,,,,,,,,,,,1.0,860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5451.0
departmental,,,,,,,,,,,,,,,,,,,,,,,,,1.0,862.0,1.0,302.0,,,,,,,,,,,,,,,,,,,1.0,484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2885.0
semiannual,,,,,,,,,,,,,,,,,,,,,,,,,1.0,863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5452.0
served,,,,,,,,,,,,,,,,,,,,,,,,,1.0,865.0,1.0,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,208.0,,,,,,,,,,,,,,,1.0,759.0,,,,,,,,,,,,,,,,,,,,,,,5.0,2086.0
guests,,,,,,,,,,,,,,,,,,,,,,,,,1.0,867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,655.0,,,,,5.0,45.0,,,,,,,,,,,,,,,,,,,,,1.0,628.0,,,,,,,,,1.0,403.0,1.0,161.0,6.0,53.0,,,16.0,808.0
eat,,,,,,,,,,,,,,,,,,,,,,,,,1.0,868.0,,,,,,,,,,,,,,,,,1.0,481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3657.0
salty,,,,,,,,,,,,,,,,,,,,,,,,,1.0,869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5453.0
inedible,,,,,,,,,,,,,,,,,,,,,,,,,1.0,870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5454.0
transmit,,,,,,,,,,,,,,,,,,,,,,,,,1.0,877.0,,,,,,,,,,,,,,,,,,,1.0,184.0,,,,,,,,,1.0,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2886.0
unhelpful,,,,,,,,,,,,,,,,,,,,,,,,,1.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5455.0
prior,,,,,,,,,,,,,,,,,,,,,,,,,1.0,881.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,197.0,,,,,,,,,,,,,,,,,,,,,,,3.0,2887.0
coordinated,,,,,,,,,,,,,,,,,,,,,,,,,1.0,884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5456.0
paving,,,,,,,,,,,,,,,,,,,,,,,,,1.0,885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5457.0
median,,,,,,,,,,,,,,,,,,,,,,,,,1.0,887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,113.0,,,,,,,,,,,,,,,,,,,,,3.0,2888.0
incur,,,,,,,,,,,,,,,,,,,,,,,,,1.0,891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5458.0
profits,,,,,,,,,,,,,,,,,,,,,,,,,1.0,894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,103.0,,,,,,,,,,,,,,,,,1.0,465.0,,,,,,,,,,,,,1.0,601.0,1.0,784.0,,,,,,,,,,,,,5.0,2087.0
winter,,,,,,,,,,,,,,,,,,,,,,,,,1.0,895.0,,,,,,,,,,,,,,,,,,,,,1.0,562.0,,,,,,,2.0,187.0,,,,,,,,,,,2.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1828.0
remobilization,,,,,,,,,,,,,,,,,,,,,,,,,1.0,896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5459.0
accelerated,,,,,,,,,,,,,,,,,,,,,,,,,1.0,897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5460.0
overtime,,,,,,,,,,,,,,,,,,,,,,,,,1.0,899.0,,,,,,,,,2.0,81.0,,,,,,,,,,,,,,,,,,,1.0,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2432.0
dog,,,,,,,,,,,,,,,,,,,,,,,,,1.0,902.0,,,,,,,,,1.0,411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2433.0
frightened,,,,,,,,,,,,,,,,,,,,,,,,,1.0,904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,695.0,,,,,,,,,,,2.0,3659.0
outdoors,,,,,,,,,,,,,,,,,,,,,,,,,1.0,907.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5461.0
snapping,,,,,,,,,,,,,,,,,,,,,,,,,1.0,910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5462.0
authorities,,,,,,,,,,,,,,,,,,,,,,,,,1.0,912.0,,,,,1.0,344.0,,,,,,,,,,,,,,,,,,,,,,,2.0,126.0,,,,,,,,,,,1.0,229.0,,,,,,,,,,,,,1.0,440.0,,,1.0,571.0,,,,,,,1.0,326.0,,,1.0,467.0,,,10.0,1223.0
cummings,,,,,,,,,,,,,,,,,,,,,,,,,1.0,913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5463.0
manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,1.0,915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,743.0,,,,,,,,,,,,,3.0,2889.0
defects,,,,,,,,,,,,,,,,,,,,,,,,,1.0,916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,373.0,,,,,,,,,,,,,,,,,2.0,3662.0
types,,,,,,,,,,,,,,,,,,,,,,,,,1.0,919.0,,,,,,,,,1.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,253.0,,,1.0,1010.0,,,,,,,,,,,,,,,7.0,1605.0
homeowners,,,,,,,,,,,,,,,,,,,,,,,,,1.0,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,746.0,,,,,,,,,,,,,2.0,3663.0
insurances,,,,,,,,,,,,,,,,,,,,,,,,,1.0,921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5464.0
coverage,,,,,,,,,,,,,,,,,,,,,,,,,1.0,925.0,,,,,,,,,,,1.0,505.0,,,1.0,407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,410.0,,,,,,,,,,,,,,,,,,,,,4.0,2434.0
integrity,,,,,,,,,,,,,,,,,,,,,,,,,1.0,929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3664.0
surprising,,,,,,,,,,,,,,,,,,,,,,,,,1.0,930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,535.0,,,,,,,,,,,,,3.0,2890.0
distressing,,,,,,,,,,,,,,,,,,,,,,,,,1.0,931.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5465.0
substandard,,,,,,,,,,,,,,,,,,,,,,,,,1.0,933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5466.0
substitutions,,,,,,,,,,,,,,,,,,,,,,,,,1.0,934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5467.0
substitution,,,,,,,,,,,,,,,,,,,,,,,,,1.0,936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3665.0
inferior,,,,,,,,,,,,,,,,,,,,,,,,,1.0,937.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5468.0
smaller,,,,,,,,,,,,,,,,,,,,,,,,,1.0,939.0,,,,,,,2.0,126.0,,,,,,,,,,,,,,,1.0,361.0,,,,,,,,,,,,,,,,,1.0,164.0,,,,,1.0,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1444.0
equivalent,,,,,,,,,,,,,,,,,,,,,,,,,1.0,940.0,,,,,,,,,,,,,1.0,348.0,,,,,,,,,,,,,,,,,,,,,,,1.0,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2891.0
remedy,,,,,,,,,,,,,,,,,,,,,,,,,1.0,941.0,,,,,,,,,,,,,,,,,,,,,1.0,331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3666.0
incorporation,,,,,,,,,,,,,,,,,,,,,,,,,1.0,946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5469.0
spent,,,,,,,,,,,,,,,,,,,,,,,,,1.0,949.0,,,,,,,,,,,,,,,,,,,,,,,1.0,416.0,,,1.0,209.0,1.0,516.0,,,,,,,1.0,200.0,,,,,,,,,1.0,587.0,,,,,,,1.0,860.0,,,1.0,569.0,,,1.0,718.0,1.0,754.0,,,,,,,,,10.0,1224.0
tenants,,,,,,,,,,,,,,,,,,,,,,,,,1.0,953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5470.0
frequent,,,,,,,,,,,,,,,,,,,,,,,,,1.0,956.0,,,,,,,1.0,545.0,,,,,,,,,1.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,163.0,4.0,2436.0
loud,,,,,,,,,,,,,,,,,,,,,,,,,1.0,958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3667.0
noises,,,,,,,,,,,,,,,,,,,,,,,,,1.0,959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5471.0
alsohow,,,,,,,,,,,,,,,,,,,,,,,,,1.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5472.0
drawer,,,,,,,,,,,,,,,,,,,,,,,,,1.0,963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3668.0
locking,,,,,,,,,,,,,,,,,,,,,,,,,1.0,964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3669.0
cabinet,,,,,,,,,,,,,,,,,,,,,,,,,1.0,968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5473.0
function,,,,,,,,,,,,,,,,,,,,,,,,,1.0,969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,163.0,,,,,2.0,57.0,,,,,,,,,,,,,,,,,2.0,192.0,,,,,,,,,,,6.0,1829.0
claimed,,,,,,,,,,,,,,,,,,,,,,,,,1.0,970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5474.0
locks,,,,,,,,,,,,,,,,,,,,,,,,,1.0,971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5475.0
unlocking,,,,,,,,,,,,,,,,,,,,,,,,,1.0,974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5476.0
mechanism,,,,,,,,,,,,,,,,,,,,,,,,,1.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5477.0
unlocked,,,,,,,,,,,,,,,,,,,,,,,,,1.0,976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5478.0
locked,,,,,,,,,,,,,,,,,,,,,,,,,1.0,979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5479.0
overlapping,,,,,,,,,,,,,,,,,,,,,,,,,1.0,981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3671.0
shelving,,,,,,,,,,,,,,,,,,,,,,,,,1.0,982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,665.0,,,,,,,2.0,3672.0
sold,,,,,,,,,,,,,,,,,,,,,,,,,1.0,983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,439.0,,,,,,,,,,,1.0,771.0,,,1.0,641.0,1.0,936.0,,,,,,,,,,,,,5.0,2088.0
informs,,,,,,,,,,,,,,,,,,,,,,,,,1.0,984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5480.0
truck,,,,,,,,,,,,,,,,,,,,,,,,,1.0,987.0,,,1.0,256.0,1.0,526.0,,,,,2.0,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,99.0,,,,,7.0,1606.0
refunded,,,,,,,,,,,,,,,,,,,,,,,,,1.0,990.0,,,1.0,297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3673.0
patients,,,,,,,,,,,,,,,,,,,,,,,,,1.0,992.0,,,,,,,,,,,,,,,1.0,378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,394.0,,,,,,,1.0,761.0,,,,,,,,,1.0,519.0,,,,,,,,,5.0,2089.0
condition,,,,,,,,,,,,,,,,,,,,,,,,,1.0,994.0,,,1.0,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,287.0,,,,,,,,,,,,,,,,,3.0,2892.0
carpet,,,,,,,,,,,,,,,,,,,,,,,,,1.0,998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,583.0,,,,,,,,,,,,,,,1.0,371.0,,,4.0,2437.0
vacuumed,,,,,,,,,,,,,,,,,,,,,,,,,1.0,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5481.0
plants,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5482.0
thick,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1002.0,,,,,1.0,602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3674.0
dust,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5483.0
magazines,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1004.0,,,,,,,,,,,1.0,254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,608.0,,,,,,,,,,,,,,,,,,,,,,,1.0,588.0,,,4.0,2438.0
playthings,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5484.0
strewn,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5485.0
untouched,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5486.0
healthcare,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,715.0,,,,,,,,,,,,,2.0,3675.0
physician,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,391.0,,,,,,,3.0,101.0,,,,,,,,,1.0,692.0,,,1.0,394.0,,,,,7.0,1607.0
worrying,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,762.0,1.0,352.0,,,,,5.0,2090.0
